application_id,gender,international,gpa,major,gmat,admission
1,Female,False,3.3,Business,620.0,Admit
2,Male,False,3.28,Humanities,680.0,
3,Female,True,3.3,Business,710.0,Admit
4,Male,False,3.47,STEM,690.0,
5,Male,False,3.35,STEM,590.0,
6,Male,False,3.18,Business,610.0,
7,Female,False,2.93,STEM,590.0,Admit
8,Male,True,3.02,Business,630.0,
9,Male,False,3.24,Business,590.0,
10,Male,False,3.27,Humanities,690.0,
11,Male,False,3.05,Humanities,580.0,
12,Male,True,2.85,Humanities,580.0,
13,Female,False,3.24,Humanities,640.0,Waitlist
14,Female,False,3.39,Business,690.0,
15,Female,False,3.03,STEM,600.0,Admit
16,Female,True,3.05,Humanities,710.0,Admit
17,Female,False,3.32,Business,710.0,Admit
18,Male,False,3.23,Humanities,700.0,
19,Male,False,3.13,Humanities,630.0,
20,Male,True,3.09,Business,670.0,
21,Male,False,3.46,Business,760.0,Admit
22,Female,False,3.64,Humanities,710.0,
23,Female,True,3.42,Business,640.0,Admit
24,Male,False,3.4,Business,680.0,
25,Female,False,3.47,STEM,710.0,Admit
26,Male,False,3.26,Humanities,690.0,Admit
27,Male,True,2.99,STEM,640.0,
28,Male,False,3.39,STEM,730.0,
29,Male,False,3.08,Business,570.0,
30,Male,True,3.65,STEM,700.0,Admit
31,Male,True,3.04,STEM,610.0,
32,Male,False,3.19,Humanities,580.0,
33,Male,False,3.33,Humanities,700.0,
34,Female,False,3.53,STEM,710.0,Admit
35,Male,False,3.5,Business,650.0,
36,Male,True,3.22,Humanities,670.0,
37,Male,False,3.5,STEM,720.0,
38,Female,False,3.16,STEM,590.0,
39,Female,False,3.3,Humanities,740.0,Admit
40,Female,False,3.45,Humanities,640.0,Admit
41,Female,True,3.12,Business,610.0,Admit
42,Female,True,3.41,Business,600.0,Admit
43,Male,False,3.38,Humanities,720.0,
44,Female,False,2.93,Humanities,590.0,Admit
45,Male,False,3.27,STEM,650.0,
46,Male,False,3.32,STEM,730.0,
47,Male,True,3.13,Humanities,610.0,
48,Male,False,3.33,STEM,720.0,Admit
49,Male,False,3.23,STEM,660.0,
50,Male,False,3.38,STEM,680.0,
51,Male,False,3.26,Business,670.0,Waitlist
52,Male,False,3.43,Business,650.0,
53,Male,False,3.19,Business,650.0,
54,Female,False,3.23,STEM,700.0,Admit
55,Male,False,2.96,STEM,610.0,
56,Female,False,3.44,STEM,680.0,
57,Male,False,3.09,Business,610.0,
58,Female,True,3.05,Business,650.0,Admit
59,Male,True,3.01,Humanities,660.0,
60,Male,False,3.41,Humanities,740.0,
61,Female,False,3.27,Business,670.0,Admit
62,Male,False,3.13,Humanities,630.0,
63,Female,True,3.0,STEM,640.0,Admit
64,Male,False,3.36,STEM,650.0,
65,Female,False,3.39,Humanities,680.0,Admit
66,Male,True,3.31,Business,670.0,
67,Male,False,3.07,STEM,570.0,
68,Male,False,3.53,STEM,690.0,
69,Male,False,3.49,Business,620.0,
70,Male,False,3.41,Humanities,690.0,Admit
71,Male,True,3.34,STEM,690.0,
72,Female,False,3.33,Humanities,680.0,Waitlist
73,Female,True,3.34,STEM,680.0,Admit
74,Female,True,2.89,Humanities,670.0,Admit
