application_id,race,work_exp,work_industry
1,Asian,3.0,Financial Services
2,Black,5.0,Investment Management
3,,5.0,Technology
4,Black,6.0,Technology
5,Hispanic,5.0,Consulting
6,White,6.0,Consulting
7,Other,3.0,Technology
8,,6.0,Financial Services
9,White,2.0,Nonprofit/Gov
10,Asian,3.0,Consulting
11,White,5.0,Technology
12,,4.0,PE/VC
13,Hispanic,6.0,PE/VC
14,Black,4.0,Nonprofit/Gov
15,White,5.0,Technology
16,,4.0,Consulting
17,Asian,5.0,PE/VC
18,Black,4.0,Health Care
19,White,6.0,Financial Services
20,,8.0,Consulting
21,White,5.0,Investment Banking
22,Black,6.0,Financial Services
23,,6.0,Consulting
24,White,6.0,PE/VC
25,White,5.0,Consulting
26,Asian,5.0,Technology
27,,5.0,Consulting
28,Other,4.0,Other
29,Asian,7.0,Retail
30,,5.0,Consulting
31,,4.0,Consulting
32,White,5.0,PE/VC
33,Black,6.0,Investment Banking
34,White,5.0,Consulting
35,White,7.0,Consulting
36,,4.0,Other
37,Hispanic,5.0,Health Care
38,Black,4.0,Investment Management
39,Asian,6.0,Investment Banking
40,Asian,3.0,PE/VC
41,,4.0,PE/VC
42,,7.0,Nonprofit/Gov
43,Asian,5.0,Consulting
44,Other,4.0,Consulting
45,Other,5.0,Consulting
46,Asian,4.0,Health Care
47,,5.0,PE/VC
48,Hispanic,7.0,Consulting
49,Black,6.0,Other
50,Hispanic,5.0,Consulting
51,White,6.0,Consulting
52,Asian,4.0,Nonprofit/Gov
53,White,5.0,Financial Services
54,Asian,6.0,PE/VC
55,Black,6.0,Consulting
56,Black,4.0,PE/VC
57,Other,6.0,Consulting
58,,7.0,Health Care
59,,6.0,Consulting
60,White,4.0,Financial Services
61,White,5.0,Consulting
62,Black,5.0,Financial Services
63,,3.0,Financial Services
64,Black,5.0,Technology
65,White,5.0,Investment Banking
66,,4.0,Nonprofit/Gov
67,Other,6.0,Other
68,White,5.0,Technology
69,Black,4.0,Energy
70,White,6.0,Technology
71,,5.0,Nonprofit/Gov
72,Hispanic,5.0,Consulting
73,,5.0,PE/VC
74,,5.0,Consulting
75,,5.0,PE/VC
76,Hispanic,4.0,Nonprofit/Gov
77,Black,4.0,PE/VC
78,,5.0,Nonprofit/Gov
79,Hispanic,4.0,Other
80,Asian,4.0,Health Care
81,Hispanic,4.0,Technology
82,,4.0,PE/VC
83,Hispanic,6.0,Consulting
84,White,6.0,Consulting
85,Hispanic,4.0,PE/VC
86,Hispanic,6.0,Nonprofit/Gov
87,Hispanic,7.0,Financial Services
88,White,5.0,Consulting
89,Asian,6.0,Consulting
90,Other,6.0,Consulting
91,Hispanic,6.0,Consulting
92,Asian,4.0,Consulting
93,White,5.0,PE/VC
94,White,7.0,Nonprofit/Gov
95,White,5.0,Other
