RAD,AGE,CHAS,PRICE,RM,INDUS,ZN,TAX,CRIM,NOX,PTRATIO
4,23.4,0,27.9,6.63,4.95,80.0,245,0.03615,0.411,19.2
4,53.6,0,22.9,6.442,15.04,28.0,270,0.04203,0.464,18.2
24,100.0,0,16.7,6.411,18.1,0.0,666,11.0874,0.718,20.2
5,32.2,0,35.1,6.812,3.33,20.0,216,0.21038,0.4429,14.9
8,83.0,0,50.0,8.725,6.2,0.0,307,0.52693,0.504,17.4
8,76.9,0,31.7,7.412,6.2,0.0,307,0.46296,0.504,17.4
24,97.4,0,13.3,6.162,18.1,0.0,666,6.39312,0.584,20.2
5,79.2,0,23.8,5.877,19.58,0.0,403,1.80028,0.605,14.7
4,18.4,0,23.9,6.127,13.92,0.0,289,0.08265,0.437,16.0
4,33.2,0,48.5,7.853,2.68,95.0,224,0.0351,0.4161,14.7
5,36.1,0,30.1,6.728,2.02,90.0,187,0.01709,0.41,17.0
3,62.0,0,19.4,5.602,6.91,0.0,233,0.21977,0.448,17.9
4,31.1,0,19.4,5.787,3.37,80.0,337,0.04379,0.398,16.1
5,96.7,0,19.5,5.851,8.56,0.0,384,0.13262,0.52,20.9
5,46.3,0,19.5,5.869,5.19,0.0,224,0.03427,0.515,20.2
24,96.2,0,13.1,6.38,18.1,0.0,666,23.6482,0.671,20.2
3,95.6,0,32.5,6.563,2.46,0.0,193,0.10008,0.488,17.8
4,58.8,0,21.0,6.113,9.9,0.0,304,0.47547,0.544,18.4
8,61.5,0,24.0,6.086,6.2,0.0,307,0.33045,0.507,17.4
5,91.8,0,22.7,5.854,19.58,0.0,403,2.24236,0.605,14.7
4,56.5,0,19.9,5.834,8.14,0.0,307,0.62739,0.538,21.0
4,29.3,0,23.1,5.935,8.14,0.0,307,1.05393,0.538,21.0
24,100.0,0,50.0,6.216,18.1,0.0,666,9.2323,0.631,20.2
4,100.0,0,14.5,6.072,8.14,0.0,307,1.35472,0.538,21.0
24,100.0,0,50.0,4.97,18.1,0.0,666,4.89822,0.631,20.2
2,86.3,0,23.6,7.007,3.41,0.0,270,0.0566,0.489,17.8
24,87.9,0,12.7,5.976,18.1,0.0,666,4.66883,0.713,20.2
4,82.5,0,22.8,6.635,9.9,0.0,304,0.49298,0.544,18.4
5,30.8,0,30.5,6.739,3.44,45.0,398,0.06911,0.437,15.2
2,69.6,0,21.4,6.163,2.89,0.0,276,0.11504,0.445,18.0
8,93.4,0,16.0,5.966,5.13,25.0,284,0.17171,0.453,19.7
5,39.0,0,21.7,5.889,7.87,12.5,311,0.09378,0.524,15.2
5,26.3,0,36.4,7.178,3.44,45.0,398,0.08664,0.437,15.2
4,98.8,0,13.6,5.983,27.74,0.0,711,0.10574,0.609,20.1
6,42.6,0,24.5,5.926,9.69,0.0,391,0.27957,0.585,19.2
4,9.8,0,23.7,5.412,10.59,0.0,277,0.28955,0.489,18.6
2,62.5,0,33.2,7.416,2.89,0.0,276,0.0686,0.445,18.0
3,58.7,0,28.7,6.43,2.18,0.0,222,0.02985,0.458,18.7
24,97.0,0,15.1,5.713,18.1,0.0,666,6.96215,0.7,20.2
4,32.3,0,28.1,6.375,10.59,0.0,277,0.14052,0.489,18.6
5,97.1,0,19.8,6.474,8.56,0.0,384,0.12802,0.52,20.9
4,94.1,0,12.7,5.713,8.14,0.0,307,1.13081,0.538,21.0
24,88.4,0,17.7,6.376,18.1,0.0,666,3.69311,0.713,20.2
24,98.8,0,13.1,6.471,18.1,0.0,666,8.71675,0.693,20.2
5,94.3,0,15.0,6.377,7.87,12.5,311,0.22489,0.524,15.2
4,35.9,0,24.1,6.579,1.69,60.0,411,0.0795,0.411,18.3
4,67.2,0,23.1,6.382,9.9,0.0,304,0.40202,0.544,18.4
5,38.1,0,22.2,6.316,5.19,0.0,224,0.05083,0.515,20.2
24,93.3,0,9.6,6.461,18.1,0.0,666,14.4208,0.74,20.2
1,34.5,0,26.6,6.939,1.25,40.0,335,0.02899,0.429,19.7
2,63.1,0,28.7,7.079,3.41,0.0,270,0.05302,0.489,17.8
24,59.7,0,10.2,5.837,18.1,0.0,666,12.2472,0.584,20.2
24,86.1,0,14.5,6.348,18.1,0.0,666,8.49213,0.584,20.2
5,71.3,0,26.5,6.781,8.56,0.0,384,0.11432,0.52,20.9
5,100.0,0,23.3,6.51,19.58,0.0,403,1.42502,0.871,14.7
24,77.8,0,6.3,5.852,18.1,0.0,666,9.91655,0.693,20.2
24,87.9,0,8.4,5.935,18.1,0.0,666,13.6781,0.74,20.2
5,21.9,0,35.4,7.249,1.22,90.0,226,0.01311,0.403,17.9
4,33.0,0,20.9,5.885,6.07,12.5,345,0.12816,0.409,18.9
4,52.5,0,24.4,6.326,10.59,0.0,277,0.22969,0.489,18.6
24,99.1,0,10.9,6.545,18.1,0.0,666,15.8744,0.671,20.2
5,41.1,0,32.0,6.782,3.44,45.0,398,0.07875,0.437,15.2
5,40.1,0,25.0,6.415,7.38,0.0,287,0.34109,0.493,19.6
6,7.8,0,23.7,6.393,4.93,30.0,300,0.12757,0.428,16.6
4,42.3,0,21.7,6.009,13.92,0.0,289,0.08199,0.437,16.0
5,58.5,0,18.7,5.968,5.19,0.0,224,0.06151,0.515,20.2
24,90.0,0,16.4,6.701,18.1,0.0,666,4.81213,0.713,20.2
5,100.0,0,15.6,5.468,19.58,0.0,403,4.0974,0.871,14.7
24,90.8,0,7.5,6.782,18.1,0.0,666,10.8342,0.679,20.2
4,29.7,0,24.5,6.635,2.01,80.0,280,0.01501,0.435,17.0
24,100.0,0,13.8,4.138,18.1,0.0,666,18.4982,0.668,20.2
2,34.1,0,33.3,7.287,1.52,80.0,329,0.04011,0.404,12.6
8,68.1,0,24.3,5.981,6.2,0.0,307,0.537,0.504,17.4
3,21.8,0,30.8,6.595,2.95,75.0,252,0.02763,0.428,18.3
24,94.5,0,19.1,6.003,18.1,0.0,666,4.42228,0.584,20.2
5,38.9,0,34.9,7.185,3.44,45.0,398,0.0837,0.437,15.2
24,96.0,0,8.3,5.349,18.1,0.0,666,24.8017,0.693,20.2
5,52.3,0,23.8,6.426,7.38,0.0,287,0.1676,0.493,19.6
24,94.6,0,13.4,6.629,18.1,0.0,666,11.1604,0.74,20.2
24,96.8,1,50.0,6.683,18.1,0.0,666,5.66998,0.631,20.2
7,41.1,0,36.1,7.236,2.18,33.0,222,0.05515,0.472,18.4
5,85.4,0,18.6,6.405,8.56,0.0,384,0.22876,0.52,20.9
4,18.5,0,18.6,5.884,1.69,60.0,411,0.07244,0.411,18.3
4,92.1,1,21.7,5.96,10.59,0.0,277,0.17446,0.489,18.6
24,100.0,0,11.9,4.138,18.1,0.0,666,20.7162,0.659,20.2
24,92.6,0,13.4,6.749,18.1,0.0,666,6.71772,0.713,20.2
3,61.5,1,20.7,5.92,6.96,20.0,223,0.09065,0.464,18.6
1,76.7,0,20.6,6.12,11.93,0.0,273,0.04527,0.573,21.0
4,94.1,0,15.6,5.924,8.14,0.0,307,0.75026,0.538,21.0
3,68.8,0,29.6,6.153,2.46,0.0,193,0.06047,0.488,17.8
3,47.6,0,18.9,5.888,4.0,75.0,469,0.0136,0.41,21.1
4,21.1,0,25.0,6.511,5.64,21.0,243,0.0536,0.439,16.8
5,87.4,0,19.3,6.137,8.56,0.0,384,0.21161,0.52,20.9
24,98.8,0,13.3,6.794,18.1,0.0,666,9.82349,0.671,20.2
8,86.5,0,37.6,8.04,6.2,0.0,307,0.38214,0.504,17.4
4,97.9,0,17.8,6.151,21.89,0.0,437,0.54452,0.624,21.2
5,81.8,0,33.8,7.203,3.97,20.0,264,0.54011,0.647,13.0
24,53.2,0,20.6,5.905,18.1,0.0,666,4.83567,0.583,20.2
5,100.0,0,16.5,5.631,7.87,12.5,311,0.21124,0.524,15.2
5,100.0,0,15.6,5.628,19.58,0.0,403,2.15505,0.871,14.7
4,27.6,1,33.1,6.826,6.41,40.0,254,0.06127,0.447,17.6
5,34.5,0,21.1,6.037,5.19,0.0,224,0.03961,0.515,20.2
3,83.3,0,39.8,7.765,2.46,0.0,193,0.06588,0.488,17.8
24,100.0,0,15.0,5.757,18.1,0.0,666,51.1358,0.597,20.2
24,84.0,0,19.9,6.167,18.1,0.0,666,4.34879,0.58,20.2
5,95.2,0,22.3,6.402,19.58,0.0,403,2.44953,0.605,14.7
3,59.5,0,33.0,7.104,1.38,17.5,216,0.01951,0.4161,18.6
24,95.6,0,9.5,6.38,18.1,0.0,666,9.33889,0.679,20.2
6,92.9,0,18.8,5.913,10.01,0.0,432,0.12329,0.547,17.8
4,90.4,0,19.4,6.023,9.9,0.0,304,0.26169,0.544,18.4
5,91.5,0,48.8,8.398,3.97,20.0,264,0.52014,0.647,13.0
1,18.8,0,29.1,6.604,2.93,60.0,265,0.01439,0.401,15.6
4,85.7,0,13.9,5.599,8.14,0.0,307,0.84054,0.538,21.0
4,95.0,0,13.1,5.701,8.14,0.0,307,1.15172,0.538,21.0
4,89.2,0,19.6,5.965,8.14,0.0,307,0.85204,0.538,21.0
5,97.8,0,11.8,4.903,19.58,0.0,403,2.77974,0.871,14.7
5,89.4,0,43.1,7.52,3.97,20.0,264,0.53412,0.647,13.0
24,83.0,0,19.5,6.317,18.1,0.0,666,6.65492,0.713,20.2
4,87.3,0,23.8,6.567,9.9,0.0,304,0.3692,0.544,18.4
6,72.5,0,21.2,6.176,10.01,0.0,432,0.13158,0.547,17.8
3,58.7,0,24.4,6.538,6.96,20.0,223,0.1146,0.464,18.6
24,74.9,0,23.7,6.75,18.1,0.0,666,5.70818,0.532,20.2
24,100.0,0,5.6,5.987,18.1,0.0,666,25.0461,0.693,20.2
24,100.0,0,10.5,4.652,18.1,0.0,666,24.3938,0.7,20.2
4,28.9,0,25.0,6.211,15.04,28.0,270,0.02875,0.464,18.2
1,49.3,0,32.7,7.241,1.52,35.0,284,0.01301,0.442,15.5
5,20.1,0,22.5,6.345,2.24,70.0,358,0.06466,0.4,14.8
5,54.4,0,21.7,6.195,8.56,0.0,384,0.10793,0.52,20.9
2,57.8,0,28.4,6.625,2.89,0.0,276,0.12204,0.445,18.0
5,21.5,0,37.0,6.951,3.44,45.0,398,0.09068,0.437,15.2
24,100.0,0,7.0,4.519,18.1,0.0,666,45.7461,0.693,20.2
4,96.9,0,13.5,6.096,8.14,0.0,307,1.61282,0.538,21.0
5,67.0,0,50.0,8.297,3.97,20.0,264,0.57834,0.575,13.0
7,49.1,0,24.5,6.433,5.86,22.0,330,0.16439,0.431,19.1
5,93.9,1,50.0,8.375,19.58,0.0,403,1.51902,0.605,14.7
24,98.9,0,11.5,5.39,18.1,0.0,666,8.15174,0.7,20.2
24,51.9,0,21.2,6.312,18.1,0.0,666,3.67367,0.583,20.2
24,92.6,0,13.8,6.193,18.1,0.0,666,8.64476,0.693,20.2
5,62.8,0,22.8,5.56,3.97,20.0,264,0.76162,0.647,13.0
24,93.9,0,12.8,5.627,18.1,0.0,666,9.39063,0.74,20.2
5,47.2,0,23.2,6.02,4.05,0.0,296,0.07022,0.51,16.6
5,96.1,0,23.8,6.319,19.58,0.0,403,2.3004,0.605,14.7
4,42.4,0,25.0,6.182,10.59,0.0,277,0.19802,0.489,18.6
6,88.2,0,18.3,5.928,10.01,0.0,432,0.17134,0.547,17.8
2,35.7,0,24.7,6.383,0.74,85.0,313,0.02055,0.41,17.3
5,37.2,0,35.4,6.968,3.33,20.0,216,0.03705,0.4429,14.9
24,91.8,0,16.1,6.297,18.1,0.0,666,5.09017,0.713,20.2
4,82.8,0,21.6,6.266,9.9,0.0,304,0.26938,0.544,18.4
5,100.0,0,36.0,7.333,3.97,20.0,264,0.66351,0.647,13.0
4,27.7,0,37.3,7.148,4.95,80.0,245,0.07886,0.411,19.2
24,83.7,0,14.9,6.301,18.1,0.0,666,7.75223,0.713,20.2
4,88.8,0,14.8,6.047,8.14,0.0,307,0.95577,0.538,21.0
24,65.4,0,21.4,6.209,18.1,0.0,666,7.83932,0.655,20.2
5,84.1,0,23.6,6.416,4.05,0.0,296,0.09178,0.51,16.6
4,22.3,0,22.6,5.891,10.59,0.0,277,0.13642,0.489,18.6
24,100.0,0,13.8,4.906,18.1,0.0,666,11.1081,0.668,20.2
