RM,PRICE,ZN,NOX,CRIM,LSTAT,RAD,DIS,B,TAX,AGE
6.208,11.7,0.0,0.713,13.9134,15.17,24,2.2222,100.63,666,95.0
5.968,18.7,0.0,0.515,0.06151,9.29,5,4.8122,396.9,224,58.5
5.404,19.3,0.0,0.489,0.37578,23.98,4,3.665,395.24,277,88.6
5.39,11.5,0.0,0.7,8.15174,20.85,24,1.7281,396.9,666,98.9
5.803,16.8,0.0,0.77,4.22239,14.64,24,1.9047,353.04,666,89.0
5.093,8.1,0.0,0.609,0.20746,29.68,4,1.8226,318.43,711,98.0
6.341,14.9,0.0,0.74,6.28807,17.79,24,2.072,318.01,666,96.4
5.924,15.6,0.0,0.538,0.75026,16.3,4,4.3996,394.33,307,94.1
7.61,42.3,82.5,0.415,0.02177,3.11,2,6.27,395.38,348,15.7
5.928,18.3,0.0,0.547,0.17134,15.76,6,2.4631,344.91,432,88.2
5.794,18.3,0.0,0.585,0.26838,14.1,6,2.8927,396.9,391,70.6
7.691,35.2,20.0,0.464,0.22188,6.58,3,4.3665,390.77,223,51.8
5.344,20.0,0.0,0.489,0.43571,23.09,4,3.875,396.9,277,100.0
6.185,14.6,0.0,0.614,10.233,18.03,24,2.1705,379.7,666,96.7
6.538,24.4,20.0,0.464,0.1146,7.73,3,3.9175,394.96,223,58.7
5.96,21.7,0.0,0.489,0.17446,17.27,4,3.8771,393.25,277,92.1
7.765,39.8,0.0,0.488,0.06588,7.56,3,2.741,395.56,193,83.3
6.485,15.4,0.0,0.74,9.96654,18.85,24,1.9784,386.73,666,100.0
5.663,18.2,80.0,0.413,0.04301,8.05,4,10.5857,382.8,334,21.9
6.02,23.2,0.0,0.51,0.07022,10.11,5,3.5549,393.23,296,47.2
6.454,17.1,0.0,0.624,0.35233,14.59,4,1.8498,394.08,437,98.4
6.516,23.1,85.0,0.429,0.0187,6.36,4,8.5353,392.43,351,27.7
3.863,23.1,0.0,0.631,13.5222,13.33,24,1.5106,131.42,666,100.0
5.782,19.8,0.0,0.544,0.24522,15.94,4,4.0317,396.9,304,71.7
5.885,20.9,12.5,0.409,0.12816,8.79,4,6.498,396.9,345,33.0
5.707,21.8,0.0,0.585,0.17331,12.01,6,2.3817,396.9,391,54.0
6.595,30.8,75.0,0.428,0.02763,4.32,3,5.4011,395.63,252,21.8
5.963,19.7,21.0,0.439,0.08873,13.45,4,6.8147,395.56,243,45.7
6.59,22.0,34.0,0.433,0.03537,9.5,7,5.4917,395.75,329,40.4
5.594,17.4,12.5,0.409,0.13554,13.09,4,6.498,396.9,345,36.8
5.983,13.6,0.0,0.609,0.10574,18.07,4,1.8681,390.11,711,98.8
7.155,37.9,0.0,0.488,0.09103,4.82,3,2.7006,394.12,193,92.2
5.966,24.7,0.0,0.499,0.17505,10.13,5,3.8473,393.43,279,30.2
