CRIM,AGE,INDUS,CHAS,PRICE,DIS,PTRATIO,RM,NOX,ZN,LSTAT
4.03841,90.7,18.1,0,19.6,3.0993,20.2,6.229,0.532,0.0,12.87
0.55007,91.6,3.97,0,36.5,1.9301,13.0,7.206,0.647,20.0,8.1
18.0846,100.0,18.1,0,7.2,1.8347,20.2,6.434,0.679,0.0,29.05
9.2323,100.0,18.1,0,50.0,1.1691,20.2,6.216,0.631,0.0,9.53
3.8497,91.0,18.1,1,21.7,2.5052,20.2,6.395,0.77,0.0,13.27
0.537,68.1,6.2,0,24.3,3.6715,17.4,5.981,0.504,0.0,11.65
1.05393,29.3,8.14,0,23.1,4.4986,21.0,5.935,0.538,0.0,6.58
10.6718,94.8,18.1,0,11.8,1.9879,20.2,6.459,0.74,0.0,23.98
0.98843,100.0,8.14,0,14.5,4.0952,21.0,5.813,0.538,0.0,19.88
0.06724,17.2,3.24,0,22.6,5.2146,16.9,6.333,0.46,0.0,7.34
0.09604,42.8,6.41,0,32.0,4.2673,17.6,6.854,0.447,40.0,2.98
15.288,93.3,18.1,0,13.9,1.3449,20.2,6.649,0.671,0.0,23.24
0.04011,34.1,1.52,0,33.3,7.309,12.6,7.287,0.404,80.0,4.08
0.03871,31.3,5.32,0,23.2,7.3172,16.6,6.209,0.405,52.5,7.14
0.80271,36.6,8.14,0,20.2,3.7965,21.0,5.456,0.538,0.0,11.69
0.03466,23.3,6.06,0,19.4,6.6407,16.9,6.031,0.4379,35.0,7.83
0.0315,15.3,1.47,0,34.9,7.6534,17.0,6.975,0.403,95.0,4.56
1.62864,100.0,21.89,0,14.4,1.4394,21.2,5.019,0.624,0.0,34.41
10.8342,90.8,18.1,0,7.5,1.8195,20.2,6.782,0.679,0.0,25.79
0.88125,94.7,21.89,0,14.3,1.9799,21.2,5.637,0.624,0.0,18.34
20.0849,91.2,18.1,0,8.8,1.4395,20.2,4.368,0.7,0.0,30.63
5.20177,83.4,18.1,1,22.7,2.7227,20.2,6.127,0.77,0.0,11.48
0.09178,84.1,4.05,0,23.6,2.6463,16.6,6.416,0.51,0.0,9.04
5.82401,64.7,18.1,0,23.0,3.4242,20.2,6.242,0.532,0.0,10.74
8.79212,70.6,18.1,0,11.7,2.0635,20.2,5.565,0.584,0.0,17.16
0.30347,28.9,7.38,0,23.0,5.4159,19.6,6.312,0.493,0.0,6.15
2.44668,94.0,19.58,0,13.1,1.7364,14.7,5.272,0.871,0.0,16.14
0.08664,26.3,3.44,0,36.4,6.4798,15.2,7.178,0.437,45.0,2.87
0.55778,98.2,21.89,0,18.1,2.1107,21.2,6.335,0.624,0.0,16.96
