international,work_industry,gmat,admission,race
True,Nonprofit/Gov,620.0,,
False,Consulting,640.0,,Asian
True,Technology,670.0,,
False,Consulting,690.0,Admit,Black
False,Technology,630.0,,Black
True,Nonprofit/Gov,650.0,,
True,Technology,640.0,,
False,Nonprofit/Gov,710.0,,Asian
False,Other,570.0,,White
True,Nonprofit/Gov,720.0,,
False,Investment Banking,700.0,,Hispanic
True,Financial Services,580.0,,
False,PE/VC,640.0,,Asian
False,PE/VC,610.0,,Hispanic
False,Media/Entertainment,640.0,,Asian
True,Technology,620.0,,
False,Investment Banking,640.0,,White
True,Investment Banking,780.0,Admit,
False,PE/VC,690.0,,White
False,Consulting,600.0,,White
False,PE/VC,670.0,Admit,Asian
False,Financial Services,620.0,Admit,Asian
False,Technology,630.0,,Black
True,Technology,630.0,,
False,Technology,710.0,Admit,Other
True,Investment Banking,600.0,,
False,Health Care,660.0,,Black
False,Consulting,600.0,,Hispanic
False,Consulting,720.0,Admit,Asian
True,Technology,660.0,Admit,
False,Nonprofit/Gov,650.0,,White
False,Financial Services,690.0,Admit,Black
False,Nonprofit/Gov,570.0,,Black
True,PE/VC,720.0,,
False,Other,710.0,,Hispanic
False,PE/VC,650.0,,White
False,Consulting,680.0,Admit,Asian
True,Financial Services,650.0,,
True,Technology,670.0,Admit,
True,Other,580.0,,
False,Investment Banking,600.0,,Other
False,Consulting,600.0,,White
True,PE/VC,650.0,,
False,Technology,670.0,Admit,Black
False,PE/VC,610.0,,Asian
False,Technology,660.0,,White
False,Investment Banking,760.0,,Asian
False,Other,590.0,,White
False,Technology,640.0,,Asian
False,PE/VC,680.0,,Black
False,Nonprofit/Gov,670.0,,Black
True,PE/VC,590.0,,
True,Consulting,610.0,,
False,Retail,680.0,Admit,Hispanic
True,Consulting,670.0,Waitlist,
False,Nonprofit/Gov,640.0,,White
False,PE/VC,750.0,,Black
True,Health Care,670.0,,
False,Consulting,630.0,,White
True,Consulting,620.0,,
True,Investment Banking,670.0,,
False,Technology,630.0,,Black
False,Investment Banking,600.0,,Black
False,Nonprofit/Gov,710.0,,Asian
False,Technology,700.0,,Black
True,Consulting,690.0,,
False,Financial Services,630.0,,Black
False,Consulting,660.0,,Black
True,Nonprofit/Gov,570.0,,
True,Financial Services,730.0,Admit,
True,Nonprofit/Gov,600.0,,
False,Technology,670.0,,Other
False,Investment Management,610.0,,Black
False,PE/VC,620.0,,Black
False,Technology,580.0,,White
False,Nonprofit/Gov,630.0,,Black
True,Consulting,680.0,,
True,Financial Services,640.0,,
True,Nonprofit/Gov,630.0,,
True,Consulting,680.0,,
True,Consulting,750.0,,
False,Consulting,650.0,,White
False,PE/VC,660.0,Admit,Hispanic
False,Investment Banking,570.0,,White
True,Technology,620.0,,
