major,gpa,work_exp,admission,application_id
Humanities,3.33,7.0,,2159
Business,3.24,4.0,Admit,4202
STEM,3.21,3.0,,2577
STEM,3.24,6.0,,5695
Humanities,3.21,3.0,,4568
Humanities,3.15,8.0,,495
Business,3.0,6.0,,4972
Humanities,2.93,5.0,,1361
Humanities,3.1,7.0,,2996
Humanities,2.88,4.0,,4087
Humanities,3.16,5.0,,5860
Business,3.31,4.0,,2897
Humanities,3.36,5.0,Admit,4737
STEM,2.89,6.0,,5682
Business,3.09,4.0,,2711
STEM,3.06,5.0,,1426
Humanities,3.05,5.0,,265
Humanities,3.15,5.0,,243
Business,3.09,5.0,,5772
Business,3.16,4.0,,3479
Business,3.42,5.0,,4164
STEM,3.18,4.0,,5222
STEM,3.2,5.0,,4803
Humanities,3.6,5.0,Admit,199
Humanities,3.23,5.0,,1755
Humanities,2.99,3.0,,5765
Business,3.29,3.0,,193
STEM,2.96,5.0,,5416
Humanities,3.15,6.0,,2667
Humanities,3.36,6.0,Admit,2166
Business,3.28,6.0,,3688
STEM,3.18,5.0,,2864
STEM,3.33,7.0,Admit,287
Business,3.34,5.0,,1913
Humanities,3.48,4.0,Admit,5085
STEM,3.58,4.0,Admit,829
Humanities,3.25,6.0,Admit,4452
Business,3.4,5.0,,5641
Humanities,3.29,5.0,,2862
STEM,3.33,4.0,Admit,1601
Humanities,3.34,4.0,,5687
Humanities,3.26,4.0,,1353
Business,3.25,5.0,,442
STEM,3.44,5.0,,5919
Business,3.38,4.0,,330
STEM,3.15,5.0,,3507
Humanities,3.32,5.0,,1124
Humanities,3.12,6.0,,4719
STEM,3.3,6.0,,1890
Business,3.28,6.0,,5051
Humanities,3.24,5.0,,2534
Humanities,3.22,5.0,,4110
Business,3.16,6.0,,1393
STEM,3.28,5.0,,3060
Humanities,3.08,5.0,,3891
STEM,3.27,4.0,Admit,5995
STEM,3.47,5.0,Admit,25
Business,2.85,5.0,,4931
Humanities,3.21,5.0,,1085
STEM,3.21,5.0,,3549
Business,3.12,5.0,,1488
Humanities,3.28,4.0,,2913
Humanities,3.25,5.0,,2525
Humanities,3.17,5.0,,6009
Business,3.33,5.0,,742
Humanities,3.33,4.0,,1062
Business,3.26,4.0,,4958
Business,3.18,5.0,,2626
Business,3.38,6.0,,4070
Business,2.82,4.0,,4380
Humanities,2.95,5.0,,268
STEM,3.19,3.0,,2445
Business,2.93,5.0,,716
Humanities,3.14,5.0,,5461
Humanities,3.33,5.0,,5047
Humanities,3.21,6.0,,4233
Humanities,3.3,4.0,,3270
STEM,3.31,5.0,,3865
Humanities,3.36,5.0,,3742
Business,3.17,6.0,Admit,459
STEM,3.35,4.0,,5435
Humanities,3.1,4.0,,1533
Humanities,3.32,5.0,,5434
Humanities,3.35,4.0,,3332
Humanities,3.47,4.0,,3716
STEM,3.32,5.0,,1069
Humanities,2.93,6.0,,1093
STEM,3.47,6.0,,3089
Business,3.18,5.0,,430
STEM,3.25,6.0,,2015
Business,2.86,5.0,,4281
Humanities,3.37,7.0,,884
STEM,3.04,5.0,,3724
Humanities,3.14,5.0,,152
Business,3.34,6.0,,3524
Business,3.06,6.0,,4314
Humanities,3.04,6.0,,4465
Business,3.3,5.0,,4959
STEM,3.42,4.0,,4248
Business,3.21,6.0,,1947
Business,3.21,5.0,,4046
Humanities,3.3,5.0,,2840
Business,3.14,4.0,,1480
Business,3.17,5.0,,4195
Business,3.48,4.0,Admit,2162
Humanities,3.22,5.0,,2896
STEM,3.35,5.0,,5806
Humanities,3.27,5.0,,2510
Humanities,3.61,4.0,Admit,4833
Business,3.23,5.0,,1374
Humanities,3.44,6.0,,1839
Humanities,3.41,3.0,,3207
STEM,3.12,4.0,,5998
Humanities,3.21,4.0,,1577
STEM,3.22,4.0,,549
Business,3.45,5.0,,3937
Business,3.2,4.0,,5717
Business,3.22,5.0,,1814
STEM,3.21,6.0,,1378
Business,3.36,5.0,,6193
Humanities,3.01,6.0,,6180
Humanities,3.21,5.0,Admit,3184
Business,3.21,6.0,,2950
Humanities,3.2,4.0,,2966
Humanities,3.18,5.0,,2724
STEM,3.42,5.0,Admit,1504
STEM,3.14,7.0,,2073
Humanities,3.36,5.0,,2340
Humanities,3.12,4.0,,1906
Humanities,3.21,4.0,,110
Humanities,3.4,7.0,,3913
Humanities,3.06,6.0,,2994
STEM,3.02,7.0,,4673
STEM,3.34,5.0,Admit,3021
STEM,2.99,5.0,,5480
STEM,3.38,5.0,,913
Business,3.25,7.0,,5775
Business,3.02,6.0,,5773
Business,3.44,6.0,,2361
Humanities,3.1,6.0,,2883
Humanities,3.19,6.0,,2839
STEM,3.14,5.0,,1254
Humanities,3.38,6.0,,2476
STEM,3.25,5.0,,2644
STEM,3.36,5.0,,1084
STEM,3.26,7.0,,4590
Humanities,3.05,5.0,,5790
STEM,3.32,4.0,,5888
Humanities,3.5,5.0,,4771
Business,3.18,3.0,Admit,377
Humanities,2.92,4.0,,5501
STEM,3.38,5.0,,4900
Humanities,3.58,5.0,Admit,1132
Business,3.24,6.0,,1138
Humanities,3.4,5.0,Admit,1902
Humanities,3.06,5.0,,5732
Business,3.25,4.0,,3492
Humanities,3.11,5.0,,3129
Humanities,3.42,5.0,,4946
Business,3.25,5.0,,4204
Business,3.32,6.0,,1403
Humanities,3.12,3.0,,4960
Business,3.27,7.0,,3751
Humanities,3.05,6.0,,5699
STEM,3.38,6.0,Admit,1850
STEM,3.55,5.0,,999
Business,3.29,7.0,,1967
Humanities,3.22,5.0,,1671
STEM,3.08,7.0,,3266
Business,3.16,6.0,,5078
Business,3.14,5.0,,5945
Business,3.35,3.0,,2937
Humanities,3.24,5.0,,1870
STEM,3.35,5.0,,3032
STEM,3.24,5.0,,1198
Humanities,3.22,5.0,,5597
Business,3.21,6.0,,3653
Humanities,3.28,6.0,,4479
Humanities,3.43,5.0,,3306
Business,3.25,4.0,,5170
Humanities,3.14,6.0,,3493
Business,3.26,5.0,,2257
STEM,2.83,4.0,,2799
Humanities,2.93,7.0,,2935
Humanities,3.45,4.0,,1119
Humanities,3.42,3.0,,588
Humanities,2.93,4.0,,552
STEM,3.14,5.0,,4143
STEM,3.45,4.0,,5639
STEM,3.16,6.0,,1299
Business,3.34,5.0,,3657
Humanities,3.21,5.0,,4962
Humanities,3.27,5.0,Admit,5940
STEM,3.46,5.0,,2479
Business,3.26,6.0,Admit,682
Business,3.11,6.0,,3512
STEM,3.57,7.0,,4956
Humanities,3.49,4.0,,4913
Humanities,3.26,5.0,Admit,26
STEM,3.08,6.0,,1803
