international,application_id,gender,major,work_industry,admission
True,6139,Male,Business,Investment Banking,
True,2597,Male,Business,Health Care,
False,5820,Male,STEM,Consulting,
True,2383,Male,Humanities,PE/VC,
False,1459,Female,Business,Consulting,
False,592,Female,Humanities,Nonprofit/Gov,Admit
False,3309,Female,Business,Nonprofit/Gov,Admit
False,3463,Female,Humanities,Nonprofit/Gov,Admit
False,4909,Male,Business,PE/VC,
True,601,Female,STEM,Investment Management,Admit
True,3992,Male,STEM,Consulting,
False,1040,Male,STEM,Investment Banking,
True,5022,Male,STEM,Consulting,Admit
True,5655,Male,STEM,Consulting,Admit
False,3933,Female,Business,Consulting,
False,1431,Male,STEM,Investment Banking,
False,1143,Female,Humanities,Other,
False,5278,Female,Business,Technology,
False,1316,Male,STEM,Consulting,
True,882,Male,Business,PE/VC,Admit
False,3119,Male,Business,Consulting,
True,1963,Female,Humanities,Technology,
False,5821,Female,Business,Investment Banking,
False,5887,Male,Humanities,PE/VC,
False,4077,Male,Humanities,Technology,
False,4214,Male,Business,Technology,
False,1084,Male,STEM,PE/VC,
True,6035,Male,Business,Consulting,Waitlist
False,443,Female,STEM,Technology,Admit
False,5163,Female,Business,Consulting,
True,5517,Female,STEM,Nonprofit/Gov,
True,1619,Male,Humanities,Other,
False,4615,Female,Humanities,Technology,
False,4859,Male,STEM,Consulting,
True,1847,Female,Humanities,Consulting,
True,4993,Female,STEM,Nonprofit/Gov,
False,2073,Female,STEM,PE/VC,
False,5867,Male,Humanities,Other,
True,5060,Male,Humanities,PE/VC,
False,4101,Male,Humanities,Consulting,Admit
False,440,Male,Business,Technology,
False,3154,Female,Business,PE/VC,
False,5741,Male,STEM,Technology,
False,2415,Female,Humanities,Consulting,
False,1,Female,Business,Financial Services,Admit
False,3099,Male,Humanities,PE/VC,
True,2140,Male,Business,PE/VC,
False,2934,Male,Humanities,Consulting,
True,5651,Female,STEM,Consulting,
False,3814,Male,Business,PE/VC,
False,1594,Male,Humanities,Technology,
True,483,Female,Business,Consulting,Admit
False,6040,Male,Humanities,Consulting,
False,5582,Female,STEM,Investment Banking,
False,3521,Male,Humanities,Investment Banking,
False,794,Female,STEM,Investment Management,
True,4554,Male,STEM,PE/VC,
True,1636,Male,STEM,Real Estate,
True,5212,Male,Business,Real Estate,
False,1627,Male,Business,Technology,
False,5261,Male,Humanities,Consulting,
False,4345,Male,Humanities,Consulting,
False,3584,Female,STEM,Financial Services,
False,156,Male,STEM,PE/VC,
False,196,Female,Business,Nonprofit/Gov,Admit
True,5891,Male,STEM,Nonprofit/Gov,Waitlist
False,330,Male,Business,Other,
False,728,Male,Humanities,Investment Banking,
False,2369,Female,Business,Investment Banking,
False,3064,Female,Business,Technology,Admit
False,4887,Male,STEM,Health Care,Admit
True,2565,Male,Humanities,PE/VC,
False,775,Male,Humanities,Investment Management,
False,319,Female,Humanities,Consulting,Admit
False,2592,Female,Humanities,CPG,Admit
True,5371,Female,Business,Nonprofit/Gov,
True,2992,Female,Business,Consulting,
False,3645,Male,STEM,Health Care,
True,335,Male,Business,Real Estate,
False,903,Male,Humanities,Consulting,
False,1947,Male,Business,Investment Banking,
True,3024,Male,STEM,Nonprofit/Gov,
False,3956,Male,STEM,PE/VC,
True,197,Male,Humanities,Consulting,
False,2817,Male,STEM,Investment Banking,
False,121,Male,Business,Technology,
False,3304,Male,Humanities,Consulting,
False,5648,Male,Business,Investment Banking,
False,162,Female,STEM,Consulting,Admit
True,3030,Male,Humanities,Health Care,Admit
True,2914,Male,STEM,Consulting,Admit
True,1784,Female,Humanities,PE/VC,
False,2918,Female,Business,Real Estate,
False,5366,Male,STEM,Consulting,
False,2893,Female,Business,Health Care,
True,6055,Male,Business,Investment Banking,
False,2299,Male,Humanities,Other,
False,1980,Male,STEM,Health Care,
False,2444,Male,Humanities,Financial Services,
False,2348,Female,Humanities,Technology,
False,1147,Female,STEM,Investment Banking,Admit
False,5730,Female,Business,Consulting,
True,1684,Female,STEM,Investment Banking,
True,4583,Female,Humanities,Consulting,
False,2461,Male,Humanities,PE/VC,Admit
False,2823,Male,Business,Technology,
True,5963,Male,Humanities,Technology,
False,4192,Male,Humanities,Other,
False,5989,Male,Humanities,Real Estate,
False,4477,Male,Business,Consulting,
False,4457,Female,Humanities,Consulting,
False,6179,Male,Business,Financial Services,
False,3118,Male,Humanities,Consulting,
False,49,Male,STEM,Other,
False,4981,Male,Humanities,Other,
False,4906,Male,Humanities,Consulting,
False,1452,Female,STEM,Nonprofit/Gov,
False,1766,Male,Humanities,Consulting,
True,1837,Male,STEM,Nonprofit/Gov,
False,2194,Female,Humanities,Other,
False,6149,Male,Business,Investment Management,
False,5019,Male,Business,PE/VC,Admit
False,5653,Male,Business,Health Care,
False,1781,Female,Business,Energy,
False,6027,Female,Humanities,Consulting,
False,2554,Male,Humanities,Real Estate,
False,1011,Male,Business,Consulting,
True,2688,Female,STEM,Consulting,
True,3081,Male,STEM,Other,
False,5775,Male,Business,PE/VC,
