Age_in_years,Fur_pattern,Neutered_or_spayed,Age_in_months,Eye_colour,Longitude,Preferred_food,Country,Body_length,Sleep_time_hours,Owner_play_time_minutes,Breed,Allowed_outdoor
5.58,bicolor,False,67,green,11.576124,wet,Germany,52,15,1,Ragdoll,False
7.25,solid,True,87,green,-77.03637,wet,USA,72,19,23,Maine coon,True
0.67,solid,False,8,blue,-0.57918,wet,France,25,17,33,Angora,False
5.67,solid,False,68,green,-73.561668,wet,Canada,56,13,31,Maine coon,False
9.17,colorpoint,True,110,blue,-71.05977,wet,USA,49,17,30,Ragdoll,False
6.08,colorpoint,False,73,blue,-74.00597,wet,USA,36,12,4,Ragdoll,False
1.42,bicolor,False,17,yellow,4.834277,dry,France,30,18,39,Maine coon,False
5.08,colorpoint,True,61,blue,-77.03637,wet,USA,48,15,7,Ragdoll,False
2.67,solid,False,32,blue,5.36978,dry,France,40,14,30,Angora,False
6.17,solid,True,74,yellow,-71.05977,wet,USA,56,13,27,Maine coon,True
7.75,bicolor,True,93,green,-114.066666,wet,Canada,63,16,5,Ragdoll,False
6.25,colorpoint,False,75,blue,-1.549077,dry,UK,48,12,10,Ragdoll,True
6.83,solid,True,82,yellow,11.576124,wet,Germany,78,13,9,Maine coon,False
3.25,colorpoint,False,39,blue,-1.549077,wet,UK,25,13,18,Ragdoll,False
2.5,bicolor,True,30,blue,-122.33207,wet,USA,27,15,21,Ragdoll,False
5.0,solid,True,60,amber,-122.67621,dry,USA,37,14,29,Angora,False
2.5,solid,True,30,green,-0.57918,wet,France,35,14,18,Angora,False
4.92,colorpoint,True,59,blue,-77.03637,wet,USA,38,16,27,Ragdoll,False
7.58,tabby,False,91,yellow,-74.00597,wet,USA,65,20,39,Maine coon,False
0.5,tabby,False,6,yellow,-2.991573,wet,UK,26,10,54,Maine coon,False
3.75,bicolor,True,45,blue,4.834277,wet,France,49,15,31,Ragdoll,False
2.08,colorpoint,True,25,green,-122.33207,dry,USA,21,15,34,Ragdoll,False
2.92,solid,True,35,amber,2.349014,wet,France,32,14,33,Angora,False
1.75,solid,True,21,yellow,-2.991573,dry,UK,60,16,12,Maine coon,False
1.08,solid,False,13,blue,-0.127758,dry,UK,31,16,28,Maine coon,False
7.5,solid,False,90,green,-77.03637,wet,USA,36,14,16,Angora,False
6.33,solid,False,76,yellow,-74.00597,dry,USA,62,13,9,Maine coon,False
7.75,bicolor,True,93,blue,-114.066666,wet,Canada,43,19,27,Ragdoll,False
3.42,tabby,True,41,yellow,8.682127,wet,Germany,60,13,15,Maine coon,False
4.58,solid,True,55,amber,-77.03637,dry,USA,35,17,25,Angora,False
9.0,colorpoint,False,108,blue,-77.03637,wet,USA,47,19,30,Ragdoll,False
9.83,tabby,False,118,green,-74.00597,wet,USA,72,19,17,Maine coon,False
9.58,bicolor,True,115,blue,-74.00597,wet,USA,61,20,13,Angora,True
7.75,colorpoint,False,93,blue,-73.561668,wet,Canada,47,21,28,Ragdoll,False
6.25,solid,False,75,amber,-76.61219,wet,USA,41,13,24,Angora,False
0.58,colorpoint,False,7,green,13.404954,wet,Germany,20,14,28,Ragdoll,False
4.5,colorpoint,False,54,blue,-122.41942,wet,USA,45,16,20,Ragdoll,False
8.0,colorpoint,True,96,blue,-71.05977,wet,USA,45,20,15,Ragdoll,False
0.67,solid,True,8,yellow,-1.890401,dry,UK,40,18,54,Maine coon,False
1.5,solid,False,18,blue,5.36978,wet,France,40,14,27,Angora,False
4.42,colorpoint,False,53,blue,-122.67621,wet,USA,44,12,7,Ragdoll,False
