Owner_play_time_minutes,Longitude,Country,Eye_colour,Preferred_food,Fur_colour_dominant,Fur_pattern,Breed,Body_length,Age_in_years,Gender,Weight,Neutered_or_spayed
27,-123.116226,Canada,amber,wet,white,solid,Angora,38,7.25,male,4.4,False
22,-122.33207,USA,blue,wet,seal,bicolor,Ragdoll,21,1.08,female,3.8,True
16,-114.066666,Canada,amber,dry,white,solid,Angora,39,7.0,male,4.4,True
34,-77.03637,USA,green,wet,brown/chocolate,colorpoint,Ragdoll,53,8.58,male,6.37,False
28,-123.116226,Canada,yellow,dry,brown/chocolate,tabby,Maine coon,83,5.67,male,8.1,True
31,-76.61219,USA,blue,wet,seal,colorpoint,Ragdoll,38,9.67,female,6.37,True
11,-77.03637,USA,blue,wet,seal,bicolor,Ragdoll,41,8.83,female,5.72,False
16,-2.991573,UK,yellow,wet,black,solid,Maine coon,59,2.17,female,6.61,False
3,13.404954,Germany,blue,dry,seal,bicolor,Ragdoll,46,6.67,female,6.6,False
27,-71.05977,USA,blue,wet,red/cream,tortie,Ragdoll,38,4.58,female,5.71,True
20,-122.67621,USA,blue,dry,white,solid,Angora,35,4.17,female,2.8,False
10,-1.890401,UK,yellow,wet,black,solid,Maine coon,55,2.25,female,8.47,True
4,-74.00597,USA,green,wet,seal,colorpoint,Ragdoll,46,3.92,male,7.33,True
15,-71.05977,USA,green,wet,brown/chocolate,bicolor,Ragdoll,48,2.75,female,6.0,False
18,-114.066666,Canada,yellow,wet,black,solid,Maine coon,53,5.33,female,7.1,True
16,-2.991573,UK,yellow,dry,red/cream,tabby,Maine coon,68,2.33,male,9.9,True
39,-76.61219,USA,yellow,wet,red/cream,tabby,Maine coon,78,7.17,male,11.0,True
31,-1.553621,France,green,dry,black,solid,Angora,41,4.92,male,5.0,False
29,-122.67621,USA,amber,dry,white,solid,Angora,37,5.0,male,5.2,True
16,-2.242631,UK,blue,dry,white,solid,Angora,38,6.33,female,4.8,True
25,-74.00597,USA,yellow,wet,black,solid,Maine coon,69,9.25,male,9.5,True
