Building Type,Square Footage,Day of Week,Appliances Used,Number of Occupants,Energy Consumption
Residential,10347,Weekend,8,94,3027.78
Commercial,24357,Weekend,29,6,3751.05
Industrial,30366,Weekend,28,21,4643.49
Industrial,3217,Weekend,8,11,2811.68
Commercial,34497,Weekend,35,34,4674.31
Commercial,45741,Weekday,33,21,5063.9
Residential,17775,Weekday,1,90,3253.47
Industrial,34508,Weekday,24,98,5682.63
Industrial,32321,Weekend,45,58,5432.11
Commercial,24321,Weekday,17,78,4212.08
Residential,18405,Weekday,24,38,3234.06
Residential,35339,Weekend,27,85,4494.99
Industrial,28435,Weekday,22,9,4391.84
Industrial,20478,Weekend,41,80,5040.46
Residential,32390,Weekday,15,84,4172.29
Commercial,13151,Weekday,19,58,3534.74
Commercial,20991,Weekend,29,83,4300.28
Industrial,20549,Weekend,4,68,4164.5
Industrial,31311,Weekday,27,60,5168.99
Residential,4262,Weekday,38,4,2406.04
Residential,9446,Weekday,47,43,3290.94
Commercial,45850,Weekday,44,49,5590.7
Commercial,10896,Weekend,17,71,3509.87
Commercial,45580,Weekday,4,68,4922.36
Commercial,36721,Weekend,46,66,5338.17
Industrial,21177,Weekday,7,69,4276.15
Residential,18655,Weekday,11,13,2716.66
Commercial,13761,Weekday,28,3,3171.27
Residential,20644,Weekday,7,29,2904.51
Residential,22276,Weekday,22,71,3757.72
Commercial,27227,Weekday,23,89,4686.28
Industrial,35031,Weekday,13,3,4526.12
Commercial,36897,Weekend,32,30,4683.04
Commercial,45423,Weekend,2,22,4449.57
Commercial,12200,Weekday,8,95,3621.32
Industrial,2856,Weekday,19,12,3057.53
Industrial,35332,Weekday,29,23,4997.78
Industrial,38446,Weekend,20,97,5672.37
Commercial,26111,Weekday,49,26,4516.31
Commercial,18273,Weekday,38,37,3928.35
Residential,18524,Weekday,4,78,3168.71
Industrial,47827,Weekend,23,44,5637.13
Commercial,38284,Weekend,8,36,4370.44
Commercial,36340,Weekday,20,33,4516.02
Commercial,39504,Weekday,46,86,5744.86
Residential,4925,Weekday,36,30,2724.62
Residential,34950,Weekday,18,60,4116.32
Residential,14494,Weekday,9,2,2311.29
Industrial,4763,Weekday,32,86,4209.18
Residential,22859,Weekday,22,24,3208.61
Residential,1226,Weekday,3,58,2137.35
Commercial,36237,Weekday,23,45,4622.54
Residential,49638,Weekday,15,29,4517.48
Residential,47690,Weekday,11,39,4377.04
Residential,23650,Weekday,29,82,4030.72
Residential,13724,Weekday,4,13,2342.38
Residential,41260,Weekend,38,35,4524.71
Residential,48382,Weekday,1,95,4779.18
Residential,23696,Weekend,29,85,4058.25
Commercial,23411,Weekday,23,98,4558.07
Residential,35988,Weekend,47,57,4722.68
Commercial,11206,Weekend,24,72,3689.04
Residential,14047,Weekday,46,50,3525.66
Residential,7991,Weekend,18,13,2284.33
Industrial,42373,Weekend,38,18,5422.98
Industrial,838,Weekday,45,34,3715.45
Residential,39714,Weekday,41,82,5094.1
Residential,26059,Weekday,19,16,3249.48
