chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity,volatile acidity,citric acid,residual sugar,wine_id,wine_id_r
0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6.0,8.3,0.26,0.42,2.0,129003.0,129003.0
0.054,17.0,32.0,0.99686,3.15,0.67,10.6,7.0,11.7,0.28,0.47,1.7,992544.0,992544.0
0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5.0,8.1,0.725,0.22,2.2,698808.0,698808.0
0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5.0,8.4,0.62,0.09,2.2,703009.0,703009.0
0.074,5.0,20.0,0.9973,3.32,0.81,9.6,6.0,7.2,0.52,0.07,1.4,254442.0,254442.0
0.415,14.0,32.0,0.99656,3.09,1.06,9.1,6.0,7.8,0.48,0.68,1.7,942862.0,942862.0
0.085,19.0,64.0,1.0,3.1,0.61,10.5,6.0,12.2,0.48,0.54,2.6,523035.0,523035.0
0.0559999999999999,14.0,28.0,0.99362,3.62,0.67,12.4,6.0,5.9,0.395,0.13,2.4,411461.0,411461.0
0.089,12.0,74.0,0.99738,3.14,0.54,9.4,5.0,8.8,0.59,0.18,2.9,525524.0,525524.0
0.0409999999999999,16.0,46.0,0.99258,4.01,0.59,12.5,6.0,5.4,0.74,0.0,1.2,521722.0,521722.0
0.059,5.0,15.0,0.997,3.37,0.56,11.3,5.0,8.1,0.78,0.23,2.6,209348.0,209348.0
0.046,12.0,53.0,0.99294,3.36,0.62,12.2,6.0,6.4,0.39,0.33,3.3,532717.0,532717.0
0.071,21.0,68.0,0.9992,3.46,0.63,9.5,5.0,9.5,0.59,0.44,2.3,956239.0,956239.0
0.064,7.0,11.0,0.99562,3.45,0.58,11.3,6.0,7.4,0.58,0.0,2.0,442526.0,442526.0
0.079,20.0,35.0,0.99628,3.4,0.69,10.9,5.0,7.8,0.7,0.06,1.9,367317.0,367317.0
0.076,15.0,37.0,0.99624,3.36,0.49,10.7,5.0,7.1,0.46,0.14,2.8,283009.0,283009.0
0.079,26.0,65.0,0.99716,3.46,0.62,9.5,6.0,7.6,0.36,0.31,1.7,765115.0,765115.0
0.077,25.0,44.0,0.99385,3.5,0.53,11.2,5.0,5.9,0.46,0.0,1.9,767622.0,767622.0
0.087,23.0,54.0,0.998,3.42,0.74,9.2,5.0,7.7,0.51,0.28,2.1,697882.0,697882.0
0.086,20.0,65.0,0.99558,3.4,0.54,10.1,6.0,7.0,0.36,0.21,2.3,333212.0,333212.0
0.044,14.0,86.0,0.99264,3.56,0.94,12.9,7.0,5.1,0.585,0.0,1.7,478328.0,478328.0
0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5.0,7.5,0.5,0.36,6.1,682954.0,682954.0
0.093,19.0,98.0,0.99815,3.32,0.63,9.5,6.0,9.0,0.46,0.31,2.8,707073.0,707073.0
0.086,9.0,30.0,0.99824,3.34,0.64,10.5,5.0,8.9,0.75,0.14,2.5,700383.0,700383.0
0.061,7.0,15.0,0.9981,3.18,0.62,9.5,5.0,10.7,0.46,0.39,2.0,188382.0,188382.0
0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5.0,8.8,0.41,0.64,2.2,410032.0,410032.0
0.061,6.0,15.0,0.99524,3.3,0.74,11.8,7.0,8.5,0.28,0.35,1.7,551608.0,551608.0
0.088,16.0,23.0,0.99694,3.32,0.47,9.4,5.0,8.8,0.685,0.26,1.6,849298.0,849298.0
0.078,1.0,28.0,0.999,3.41,0.87,10.3,6.0,9.1,0.22,0.24,2.1,771162.0,771162.0
0.076,11.0,47.0,0.99599,3.27,0.81,11.0,6.0,8.2,0.35,0.33,2.4,271743.0,271743.0
0.0819999999999999,10.0,22.0,0.9976,3.22,0.44,9.6,5.0,8.4,0.56,0.04,2.0,908796.0,908796.0
0.078,6.0,12.0,0.996,3.55,0.63,9.95,3.0,6.7,0.76,0.02,1.8,263481.0,263481.0
0.063,34.0,53.0,0.9958,3.41,0.67,9.7,5.0,6.8,0.59,0.1,1.7,398635.0,398635.0
0.045,57.0,135.0,0.99341,3.32,0.44,9.5,5.0,5.9,0.19,0.21,1.7,534807.0,534807.0
0.079,9.0,30.0,0.9976,3.12,0.54,12.0,6.0,9.4,0.33,0.59,2.8,770105.0,770105.0
0.076,12.0,20.0,0.99546,3.29,0.54,10.1,5.0,7.2,0.695,0.13,2.0,786638.0,786638.0
0.075,15.0,50.0,0.99467,3.58,0.67,12.5,6.0,6.0,0.58,0.2,2.4,448701.0,448701.0
0.071,16.0,40.0,0.9991,3.39,0.62,9.4,5.0,9.9,0.54,0.45,2.3,806544.0,806544.0
0.096,14.0,63.0,0.9984,3.17,0.62,9.1,6.0,8.3,0.58,0.13,2.9,153375.0,153375.0
0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5.0,12.3,0.39,0.63,2.3,818340.0,818340.0
